evidence_id,team,match_id,restart_type,shot_outcome,termination_reason,censoring_reason,reviewer_1_restart_valid,reviewer_2_restart_valid,reviewer_1_boundary_valid,reviewer_2_boundary_valid,adjudication,notes
DB-3913080-2965,West Ham United LFC,3913080,direct_free_kick_shot,True,shot,,,,,,,
DB-3912598-973,Arsenal WFC,3912598,wide_final_third_free_kick_pass,False,event_limit,event_limit,,,,,,
DB-3912592-2259,Aston Villa W,3912592,wide_final_third_free_kick_pass,False,event_limit,event_limit,,,,,,
DB-3912596-3484,Brighton & Hove Albion WFC,3912596,wide_final_third_free_kick_pass,False,time_limit,time_limit,,,,,,
DB-3913072-1329,Bristol City WFC,3913072,wide_final_third_free_kick_pass,False,loss,,,,,,,
DB-3912597-3018,Chelsea FCW,3912597,wide_final_third_free_kick_pass,False,loss,,,,,,,
DB-3912602-3150,Everton LFC,3912602,wide_final_third_free_kick_pass,False,time_limit,time_limit,,,,,,
DB-3912594-2164,Leicester City WFC,3912594,wide_final_third_free_kick_pass,False,event_limit,event_limit,,,,,,
DB-3913084-3499,Liverpool WFC,3913084,wide_final_third_free_kick_pass,False,time_limit,time_limit,,,,,,
DB-3912593-3890,Manchester City WFC,3912593,wide_final_third_free_kick_pass,False,loss,,,,,,,
DB-3912598-1066,Manchester United W,3912598,wide_final_third_free_kick_pass,False,loss,,,,,,,
DB-3912601-2840,Tottenham Hotspur Women,3912601,wide_final_third_free_kick_pass,False,event_limit,event_limit,,,,,,
DB-3913080-2009,West Ham United LFC,3913080,wide_final_third_free_kick_pass,False,reset,,,,,,,
DB-3913073-2140,Arsenal WFC,3913073,wide_final_third_free_kick_pass,True,shot,,,,,,,
DB-3912592-2594,Aston Villa W,3912592,wide_final_third_free_kick_pass,True,shot,,,,,,,
DB-3913099-850,Brighton & Hove Albion WFC,3913099,wide_final_third_free_kick_pass,True,shot,,,,,,,
DB-3912601-1521,Bristol City WFC,3912601,wide_final_third_free_kick_pass,True,shot,,,,,,,
DB-3912597-2495,Chelsea FCW,3912597,wide_final_third_free_kick_pass,True,shot,,,,,,,
DB-3913128-482,Everton LFC,3913128,wide_final_third_free_kick_pass,True,shot,,,,,,,
DB-3912594-50,Leicester City WFC,3912594,wide_final_third_free_kick_pass,True,shot,,,,,,,
DB-3913070-274,Liverpool WFC,3913070,wide_final_third_free_kick_pass,True,shot,,,,,,,
